,date,region,population,sample_size,reach,sample_size_recent,reach_recent,p_infected,p_infected_low,p_infected_high,p_fatalities,p_fatalities_low,p_fatalities_high,p_hospital,p_hospital_low,p_hospital_high,p_recent,p_recent_low,p_recent_high,p_daily,p_daily_low,p_daily_high,p_active,p_active_low,p_active_high
12,2022/12/08,USHI,1415872,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2022/12/08,USIA,3155070,6,149,1,50,0.516778523489933,0.436540485760489,0.597016561219377,0.0201342281879195,0,0.0426873021234759,0.0201342281879195,0,0.0426873021234759,0,0,0,0,0,0,0,0,0
14,2022/12/08,USID,1787065,2,107,1,100,0.682242990654206,0.594021719100744,0.770464262207668,0,0,0,0,0,0,0.02,0,0.0474394957835607,0.00285714285714286,0,0.0133186139692947,0.05,0.00728357529205296,0.0927164247079471
15,2022/12/08,USIL,12671821,38,1003,15,367,0.455633100697906,0.424811789331225,0.486454412064588,0.0175246440306681,0.00901330014882554,0.0260359879125107,0.0320733104238259,0.0203854747865791,0.0437611460610727,0.0652818991097923,0.0389082722729049,0.0916555259466797,0.020241339042429,0.00583365306614138,0.0346490250187165,0.0163487738419619,0.00337464457190015,0.0293229031120235
16,2022/12/08,USIN,6732219,18,588,12,358,0.433673469387755,0.393616848614487,0.473730090161023,0.0119047619047619,0.0031384041926801,0.0206711196168437,0.0204081632653061,0.0089798018394166,0.0318365246911956,0.0139664804469274,0.00181033449079262,0.0261226264030621,0.0019952114924182,0,0.00661760973170353,0.0251396648044693,0.00892315013549442,0.0413561794734441
17,2022/12/08,USKS,2913314,6,128,2,30,0.5546875,0.4685881765758,0.6407868234242,0,0,0,0,0,0,0.166666666666667,0.0333080089901303,0.300025324343203,0.0238095238095238,0,0.0783639637481345,0,0,0
18,2022/12/08,USKY,4467673,13,463,6,129,0.485961123110151,0.440435453522799,0.531486792697503,0.0198237885462555,0.00700149922808594,0.0326460778644251,0.048951048951049,0.0285335810423816,0.0693685168597163,0.00775193798449612,0,0.0228864530633032,0.00110741971207087,0,0.00684684959148463,0.0232558139534884,0,0.0492639618116449
19,2022/12/08,USLA,4648794,13,458,5,235,0.585152838427948,0.540030243060126,0.63027543379577,0.0158013544018059,0.00418861269885704,0.0274140961047547,0.0225733634311512,0.00874131662537329,0.0364054102369292,0.0170212765957447,0.000483303418280134,0.0335592497732092,0.00243161094224924,0,0.00872859427504364,0.0425531914893617,0.0167461894184257,0.0683601935602977
20,2022/12/08,USMA,6949503,16,481,4,77,0.521829521829522,0.477188795190791,0.566470248468252,0.00207900207900208,0,0.00614953334699967,0.0103950103950104,0.00133103005236249,0.0194589907376583,0,0,0,0,0,0,0,0,0
21,2022/12/08,USMD,6045680,12,429,8,267,0.391608391608392,0.34541955247093,0.437797230745853,0,0,0,0.0364741641337386,0.0162171935129714,0.0567311347545058,0.0112359550561798,0,0.0238787702522474,0.00160513643659711,0,0.00640688711076409,0.0411985018726592,0.0173589809168518,0.0650380228284665
22,2022/12/08,USME,1344212,2,75,2,75,0.8,0.709473141273906,0.890526858726094,0.0266666666666667,0,0.0631280065277497,0.0666666666666667,0.0102132517243451,0.123120081608988,0.0133333333333333,0,0.0392913828055158,0.0019047619047619,0,0.0117726405385292,0.0266666666666667,0,0.0631280065277497
23,2022/12/08,USMI,9986857,25,735,11,244,0.52108843537415,0.484973420245993,0.557203450502306,0.00326797385620915,0,0.00778966477930165,0.0179738562091503,0.00744807020278885,0.0284996422155118,0.0204918032786885,0.00271526042394666,0.0382683461334304,0.00292740046838407,0,0.00970627565408022,0.0286885245901639,0.0077432265495429,0.049633822630785
24,2022/12/08,USMN,5639632,13,324,5,185,0.401234567901235,0.347863841127847,0.454605294674623,0,0,0,0.00427350427350427,0,0.0126315023222596,0,0,0,0,0,0,0,0,0
25,2022/12/08,USMO,6137428,8,230,4,145,0.391304347826087,0.32823162066886,0.454377074983314,0.0130434782608696,0,0.0277067165734496,0.0391304347826087,0.0140708582079442,0.0641900113572732,0.0413793103448276,0.00896184068990542,0.0737967799997497,0.00591133004926108,0,0.0183885909397807,0.0344827586206897,0.00478353422893535,0.064181983012444
26,2022/12/08,USMS,2976149,4,137,2,110,0.496350364963504,0.41262708346133,0.580073646465677,0.0427350427350427,0.00608594291555659,0.0793841425545289,0.102564102564103,0.0475904528348733,0.157537752293332,0,0,0,0,0,0,0.0454545454545455,0.00652864076054068,0.0843804501485502
27,2022/12/08,USMT,1068778,1,30,0,0,0.833333333333333,0.699974675656797,0.96669199100987,0,0,0,0.1,0,0.207351648623029,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2022/12/08,USNC,10488084,26,855,17,522,0.35672514619883,0.324615894586501,0.388834397811159,0.00366300366300366,0,0.00780040780715285,0.0170940170940171,0.00821664964543668,0.0259713845425975,0.00383141762452107,0,0.00913121183220225,0.000547345374931582,0,0.00255377845195769,0.0120724346076459,0.00247113815806226,0.0216737310572295
29,2022/12/08,USND,762062,1,25,1,25,0.88,0.752617418543146,1,0.04,0,0.116814586821685,0.04,0,0.116814586821685,0.04,0,0.116814586821685,0.00571428571428571,0,0.035261372116194,0.04,0,0.116814586821685
30,2022/12/08,USNE,1934408,5,207,4,177,0.536231884057971,0.468297494272073,0.604166273843869,0.00483091787439614,0,0.0142764446401761,0.0241545893719807,0.00323981134281659,0.0450693674011448,0.15819209039548,0.104431956543356,0.211952224247605,0.0225988700564972,0.000704057137179498,0.0444936829758149,0.0169491525423729,0,0.0359653396957946
31,2022/12/08,USNH,1359711,5,112,2,30,0.714285714285714,0.630621249014739,0.797950179556689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2022/12/08,USNJ,8882190,22,765,9,275,0.605228758169935,0.570590989672062,0.639866526667807,0.010989010989011,0.00289323957522537,0.0190847824027966,0.0266875981161695,0.0141717798633924,0.0392034163689467,0.00363636363636364,0,0.0107505351568929,0.000519480519480519,0,0.00321258711874193,0.0109090909090909,0,0.0231861438796054
33,2022/12/08,USNM,2096829,4,200,2,160,0.285,0.222438299608029,0.347561700391971,0.015,0,0.0318460016139967,0.055,0.0234041282597254,0.0865958717402746,0,0,0,0,0,0,0,0,0
34,2022/12/08,USNV,3080156,7,86,4,63,0.197674418604651,0.113505951028097,0.281842886181205,0,0,0,0.028169014084507,0,0.066654777975135,0.0158730158730159,0,0.0467356586150324,0.00226757369614512,0,0.0140129129380306,0.0317460317460317,0,0.0750389819798195
35,2022/12/08,USNY,19453561,54,1382,21,553,0.417510853835022,0.391510942123813,0.443510765546231,0.00634920634920635,0.0019635011943867,0.010734911504026,0.0206611570247934,0.0126462365965803,0.0286760774530065,0.0216998191681736,0.00955615776001387,0.0338434805763333,0.00309997416688194,0,0.00773327358284066,0.0054249547920434,0,0.0115470822378702
36,2022/12/08,USOH,11689100,45,1335,27,964,0.466666666666667,0.439905181434501,0.493428151898833,0.0077319587628866,0.00270007190547081,0.0127638456203024,0.0174064403829417,0.00984455628156814,0.0249683244843152,0.024896265560166,0.015060637714343,0.034731893405989,0.003556609365738,0,0.00731458511655795,0.0311203319502075,0.0201589173248148,0.0420817465756001
37,2022/12/08,USOK,3956971,9,236,6,138,0.317796610169492,0.258391520430283,0.3772016999087,0.0211864406779661,0.00281382126845919,0.039559060087473,0.0296610169491525,0.00801655233824048,0.0513054815600646,0,0,0,0,0,0,0,0,0
38,2022/12/08,USOR,4217737,11,380,6,190,0.328947368421053,0.281708684148139,0.376186052693966,0,0,0,0.00263157894736842,0,0.00778258785705149,0.0105263157894737,0,0.0250377925963543,0.00150375939849624,0,0.0070135321248212,0.00526315789473684,0,0.0155515756846498
39,2022/12/08,USPA,12801989,40,1237,23,664,0.455133387227163,0.427382447941313,0.482884326513012,0.0105355575065847,0.00460609829463608,0.0164650167185334,0.041385948026949,0.0292747064552348,0.0534971895986632,0.0240963855421687,0.0124324941727388,0.0357602769115985,0.00344234079173838,0,0.00789728427318091,0.0297339593114241,0.0165644543874105,0.0429034642354377
40,2022/12/08,USRI,1059361,3,57,1,30,0.385964912280702,0.25958409192678,0.512345732634623,0.0238095238095238,0,0.0699164408379719,0.142857142857143,0.0370290350666076,0.248685250647678,0,0,0,0,0,0,0,0,0
41,2022/12/08,USSC,5148714,13,218,6,132,0.467889908256881,0.401654162400447,0.534125654113315,0,0,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0,0.0359903708911263
